UDI,Product_ID,Type,Air_temperature__K_,Process_temperature__K_,Rotational_speed__rpm_,Torque__Nm_,Tool_wear__min_,Machine_failure,TWF,HDF,PWF,OSF,RNF
8046,M22905,M,300.7,311.9,1366,55.1,36,0,0,0,0,0,0
9859,L57038,L,298.5,309.5,1547,33.1,68,0,0,0,0,0,0
7046,M21905,M,300.7,310.6,1609,27.6,108,0,0,0,0,0,0
2732,M17591,M,299.7,309.2,1597,32.9,135,0,0,0,0,0,0
1967,L49146,L,297.9,307.6,1515,40.5,118,0,0,0,0,0,0
650,M15509,M,297.7,309.2,1732,28.8,152,0,0,0,0,0,0
2597,L49776,L,299.0,308.7,1426,38.6,16,0,0,0,0,0,0
4407,L51586,L,302.5,310.3,1326,58.5,55,1,0,1,0,0,0
7628,L54807,L,300.5,311.7,1445,44.8,83,0,0,0,0,0,0
4145,L51324,L,301.8,310.1,1738,28.0,58,0,0,0,0,0,0
9896,L57075,L,298.8,309.4,1387,54.1,171,0,0,0,0,0,0
2743,L49922,L,299.6,309.1,1369,51.4,164,0,0,0,0,0,0
6518,L53697,L,301.1,310.1,1540,36.6,28,0,0,0,0,0,0
7135,M21994,M,300.5,310.0,1406,50.2,119,0,0,0,0,0,0
4286,L51465,L,301.7,309.9,1317,49.0,187,1,0,1,0,0,0
2515,L49694,L,298.9,308.6,2069,18.7,27,0,0,0,0,0,0
9548,L56727,L,299.6,311.1,1679,30.7,129,0,0,0,0,0,0
1378,L48557,L,298.8,310.2,1461,46.7,105,0,0,0,0,0,0
233,L47412,L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0
3425,L50604,L,301.5,310.5,1593,32.9,155,0,0,0,0,0,0
1149,L48328,L,297.1,308.0,1348,58.0,162,0,0,0,0,0,0
4468,L51647,L,302.8,310.6,1617,37.9,207,0,0,0,0,0,0
6271,L53450,L,300.9,310.4,2021,18.8,30,0,0,0,0,0,0
5360,M20219,M,303.3,312.6,1397,47.1,137,0,0,0,0,0,0
9008,L56187,L,297.4,308.0,1383,46.2,188,0,0,0,0,0,0
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0
1916,L49095,L,298.0,307.7,1492,38.7,202,0,0,0,0,0,0
957,H30370,H,295.6,306.2,1632,32.2,76,0,0,0,0,0,0
3427,L50606,L,301.5,310.5,1380,48.7,160,0,0,0,0,0,0
6884,L54063,L,300.9,311.3,1953,19.4,107,0,0,0,0,0,0
8634,L55813,L,297.4,308.3,1336,53.7,61,0,0,0,0,0,0
9828,M24687,M,298.3,309.3,1376,57.0,198,0,0,0,0,0,0
9362,L56541,L,298.0,308.6,1610,33.1,56,0,0,0,0,0,0
4750,L51929,L,303.2,311.2,1404,50.9,31,0,0,0,0,0,0
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0
290,L47469,L,298.1,308.4,1436,46.7,103,0,0,0,0,0,0
4665,M19524,M,303.3,311.3,1566,46.1,41,0,0,0,0,0,0
7460,L54639,L,300.0,311.5,1591,32.0,79,0,0,0,0,0,0
8923,L56102,L,297.1,308.2,1399,42.6,194,0,0,0,0,0,0
6212,L53391,L,300.8,310.6,1360,48.8,91,0,0,0,0,0,0
5707,L52886,L,302.4,311.9,1290,70.0,139,1,0,0,1,0,0
8306,H37719,H,298.8,310.1,1380,44.0,56,0,0,0,0,0,0
4687,M19546,M,303.5,311.6,1562,34.2,107,0,0,0,0,0,0
9354,L56533,L,298.2,308.8,1345,44.3,37,0,0,0,0,0,0
3978,M18837,M,302.2,311.3,1510,36.6,91,0,0,0,0,0,0
5137,L52316,L,304.2,313.4,1735,28.9,192,0,0,0,0,0,0
7342,L54521,L,299.7,310.3,1505,37.7,4,0,0,0,0,0,0
1160,L48339,L,297.0,307.8,1609,35.6,193,0,0,0,0,0,0
6822,M21681,M,300.8,310.6,1545,37.5,155,0,0,0,0,0,0
6493,M21352,M,300.8,309.9,1444,46.0,180,0,0,0,0,0,0
5356,H34769,H,303.3,312.5,1328,49.8,120,0,0,0,0,0,0
5321,L52500,L,303.4,312.7,1363,45.5,26,0,0,0,0,0,0
9259,H38672,H,298.3,309.0,1379,43.2,0,0,0,0,0,0,0
6214,L53393,L,300.9,310.6,1552,34.9,95,0,0,0,0,0,0
5600,M20459,M,302.7,312.0,1652,31.0,81,0,0,0,0,0,0
4981,M19840,M,303.7,312.8,1685,31.8,203,0,0,0,0,0,0
3046,L50225,L,300.2,309.4,1526,35.3,46,0,0,0,0,0,0
2100,L49279,L,299.4,309.3,1596,31.8,40,0,0,0,0,0,0
5216,M20075,M,303.7,312.7,1532,42.7,194,0,0,0,0,0,0
2927,L50106,L,300.7,309.7,1507,52.4,163,0,0,0,0,0,0
